HDI rank,Country,Value (2015),Rank (2015),"Maternal mortality ratio (deaths per 100,000 live births)","Adolescent birth rate (births per 1,000 women ages 15–19)",Share of seats in parliament (% held by women),% Female population with at least some secondary education,% Male population with at least some secondary education,Female Labour force participation rate,Male Labour force participation rate
95,Colombia,0.39,89.00,64.00,50.18,20.90,50.27,59.60,57.92,79.81
96,Dominica,..,..,..,..,21.88,..,..,..,..
97,Suriname,0.45,99.00,155.00,46.13,25.49,57.72,56.79,40.51,68.63
97,Tunisia,0.29,58.00,62.00,6.80,31.34,37.53,49.94,25.08,71.29
99,Dominican Republic,0.47,107.00,92.00,97.89,19.07,57.18,55.48,52.26,78.70
99,Saint Vincent and the Grenadines,..,..,45.00,51.03,13.04,..,..,56.31,77.18
101,Tonga,0.66,152.00,124.00,15.15,0.00,91.25,91.11,52.78,74.05
102,Libya,0.17,38.00,9.00,6.19,15.96,65.65,44.22,27.83,78.75
103,Belize,0.38,81.00,28.00,65.90,13.33,77.89,77.35,56.28,83.64
104,Samoa,0.44,97.00,51.00,24.95,6.12,77.81,70.39,23.13,58.01
105,Maldives,0.31,64.00,68.00,6.75,5.88,34.30,30.87,57.29,78.83
105,Uzbekistan,0.29,57.00,36.00,17.71,16.40,99.86,99.92,48.34,76.17
107,Moldova (Republic of),0.23,46.00,23.00,22.63,21.78,95.21,97.31,38.76,45.63
108,Botswana,0.44,95.00,129.00,32.31,9.52,85.12,86.69,73.45,81.32
109,Gabon,0.54,127.00,291.00,99.95,15.98,62.30,45.94,39.89,57.53
110,Paraguay,0.46,104.00,132.00,57.42,16.80,46.23,47.05,58.07,84.56
111,Egypt,0.57,135.00,33.00,51.88,2.18,54.53,68.20,22.76,76.08
111,Turkmenistan,..,..,42.00,16.37,25.81,..,..,47.25,77.55
113,Indonesia,0.47,105.00,126.00,49.63,17.12,42.93,51.74,50.88,83.85
114,"Palestine, State of",..,..,45.00,58.62,..,56.27,61.24,17.82,69.11
115,Viet Nam,0.34,71.00,54.00,38.63,24.30,63.97,76.72,73.78,83.16
116,Philippines,0.44,96.00,114.00,61.71,27.07,72.84,70.27,50.52,78.83
117,El Salvador,0.38,85.00,54.00,65.24,32.14,39.44,44.84,49.11,79.16
118,Bolivia (Plurinational State of),0.45,98.00,206.00,70.79,51.81,49.61,58.73,63.88,82.54
119,South Africa,0.39,90.00,138.00,45.51,41.19,73.70,76.23,46.22,60.22
120,Kyrgyzstan,0.39,90.00,76.00,39.60,19.17,100.00,99.93,49.40,77.05
121,Iraq,0.53,123.00,50.00,84.04,26.52,35.79,55.48,15.10,69.73
122,Cabo Verde,..,..,42.00,73.41,20.83,..,..,53.18,84.15
123,Morocco,0.49,113.00,121.00,31.72,15.73,25.74,33.24,25.33,74.33
124,Nicaragua,0.46,103.00,150.00,88.84,41.30,45.73,44.06,49.13,80.35
125,Guatemala,0.49,113.00,88.00,80.75,13.92,37.38,36.24,41.25,83.59
125,Namibia,0.47,108.00,265.00,76.81,37.69,38.09,39.05,55.71,63.33
127,Guyana,0.51,117.00,229.00,88.00,30.43,68.14,53.24,41.79,77.18
127,Micronesia (Federated States of),..,..,100.00,14.98,0.00,..,..,..,..
129,Tajikistan,0.32,65.00,32.00,38.07,14.74,98.05,88.24,59.45,77.51
130,Honduras,0.46,101.00,129.00,64.96,25.78,33.38,31.08,47.17,84.43
131,India,0.53,125.00,174.00,24.48,12.21,35.33,61.40,26.80,79.11
132,Bhutan,0.48,110.00,148.00,21.44,8.33,5.84,13.45,58.71,72.77
133,Timor-Leste,..,..,215.00,46.60,38.46,..,..,26.77,55.52
134,Vanuatu,..,..,78.00,43.09,0.00,..,..,61.64,80.52
135,Congo,0.59,141.00,442.00,117.68,11.54,44.98,49.95,67.06,72.62
135,Equatorial Guinea,..,..,342.00,108.66,19.65,..,..,71.32,92.02
137,Kiribati,..,..,90.00,17.17,8.70,..,..,..,..
138,Lao People's Democratic Republic,0.47,106.00,197.00,64.14,25.00,30.42,42.84,77.72,77.04
139,Bangladesh,0.52,119.00,176.00,83.02,20.00,42.01,44.26,43.13,80.98
139,Ghana,0.55,131.00,319.00,66.81,10.91,51.84,68.51,75.48,78.52
139,Zambia,0.53,124.00,224.00,90.44,12.66,52.33,48.87,69.82,80.89
142,Sao Tome and Principe,0.52,122.00,156.00,84.31,18.18,30.83,44.82,45.29,76.19
143,Cambodia,0.48,112.00,161.00,51.61,19.02,13.17,26.11,75.53,86.72
144,Nepal,0.50,115.00,258.00,71.91,29.55,24.10,41.24,79.66,86.77
145,Myanmar,0.37,80.00,178.00,16.48,13.03,27.15,20.01,75.13,81.06
146,Kenya,0.56,135.00,510.00,90.88,20.81,27.81,34.12,62.11,72.13
147,Pakistan,0.55,130.00,178.00,38.74,20.05,26.48,46.13,24.31,82.24
