HDI rank,Country,Rank (2015),"Maternal mortality ratio (deaths per 100,000 live births)","Adolescent birth rate (births per 1,000 women ages 15-19)",Share of seats in parliament (% held by women),% Female population with at least some secondary education,% Male population with at least some secondary education,Female Labour force participation rate,Male Labour force participation rate
153,Cameroon,138,596,104.61,27.14,31.66,37.93,70.98,81.11
154,Papua New Guinea,143,215,54.84,2.7,8.8,14.75,69.6,71.05
155,Zimbabwe,126,443,109.67,35.14,51.92,64.73,77.75,87.31
156,Solomon Islands,,114,48.43,2,,,61.13,73.52
157,Mauritania,147,602,78.64,22.17,11.09,23.46,29.1,65.31
158,Madagascar,,353,116.16,20.53,,,83.85,89.09
159,Rwanda,84,290,26.34,57.55,10.46,16.42,86.41,83.19
160,Comoros,,335,68.33,3.03,,,35.32,79.38
161,Lesotho,132,487,92.73,24.84,23.55,22.49,59.25,73.89
162,Senegal,120,315,78.57,42.67,10.22,19.24,45.01,70.16
163,Haiti,142,359,39.28,3.48,25.68,38.72,61.5,71.36
164,Uganda,121,343,111.9,34.97,25.91,32.12,82.32,87.67
165,Sudan,140,311,74.04,31.04,13.7,18.85,24.26,72.16
166,Togo,134,368,92.01,17.58,23.14,36.12,81.1,80.63
167,Benin,144,405,83.18,7.23,15.77,30.85,69.98,73.4
168,Yemen,159,385,61.46,0.49,15.63,33.17,25.83,73.12
169,Afghanistan,154,396,73.97,27.44,8.77,35.4,19.05,83.65
170,Malawi,145,634,136.16,16.67,14.95,24.24,81.21,80.77
171,Cote d'lvoire,155,645,135.55,9.16,16.57,32.75,52.35,80.87
172,Djibouti,,229,21.5,12.73,,,36.5,68.14
173,Gambia,148,706,113.02,9.43,25.32,39.1,72.19,82.71
174,Ethiopia,116,353,58.37,37.29,10.78,20.72,76.99,89.06
175,Mali,156,587,174.59,8.84,7.34,16.16,50.06,82.26
176,Congo (Democratic Republic of the),153,693,122.61,8.17,14.48,34.97,70.49,71.77
177,Liberia,150,725,108.84,10.68,17.31,39.7,57.95,63.92
178,Guinea-Bissau,,549,89.46,13.73,,,67.24,78.32
